Price,Year,Make,Model,Mileage,Body style,Gearbox,Hand drive,Engine,Color,Custom cleared
7100.0,2017,Infiniti,QX50,21835.0, Հետչբեք, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն,Մաքսազերծված չէ
6600.0,2016,Infiniti,QX50,22589.0, Հետչբեք, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
21200.0,2021,Infiniti,QX50,16824.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
9700.0,2019,Infiniti,QX50,18346.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
16500.0,2018,Hyundai,Elantra,28601.52, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված է
12500.0,2021,Infiniti,QX50,16725.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
15100.0,2016,Tesla,Model S,21834.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Կապույտ,Մաքսազերծված չէ
13100.0,2014,Tesla,Model S,24935.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Կապույտ,Մաքսազերծված չէ
17100.0,2018,Tesla,Model S,21735.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
14100.0,2015,Tesla,Model S,23914.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
4600.0,2020,Hyundai,Elantra,18345.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
3100.0,2016,Kia,Optima,22793.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
3100.0,2017,Mazda,3,23481.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
3100.0,2016,Kia,Optima,23195.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
4100.0,2018,Kia,Optima,19327.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
